game_id,season,week,gameday,gametime,home_team,away_team,home_score,away_score,result,total,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface
2024_08_CHI_WAS,2024,8,2024-10-27,16:25,WAS,CHI,18.0,15.0,3.0,33.0,1.5,46.5,-122.0,102.0,FedExField,outdoors,grass
2024_08_DAL_SF,2024,8,2024-10-27,20:20,SF,DAL,30.0,24.0,6.0,54.0,5.5,48.0,-238.0,195.0,Levi's Stadium,outdoors,grass
2024_08_NYG_PIT,2024,8,2024-10-28,20:15,PIT,NYG,26.0,18.0,8.0,44.0,6.0,37.5,-270.0,220.0,Acrisure Stadium,outdoors,grass
2024_09_HOU_NYJ,2024,9,2024-10-31,20:15,NYJ,HOU,21.0,13.0,8.0,34.0,2.5,43.5,-148.0,124.0,MetLife Stadium,outdoors,fieldturf
2024_09_DAL_ATL,2024,9,2024-11-03,13:00,ATL,DAL,27.0,21.0,6.0,48.0,3.0,52.0,-166.0,140.0,Mercedes-Benz Stadium,closed,fieldturf
2024_09_DEN_BAL,2024,9,2024-11-03,13:00,BAL,DEN,41.0,10.0,31.0,51.0,9.0,46.5,-440.0,330.0,M&T Bank Stadium,outdoors,grass
2024_09_MIA_BUF,2024,9,2024-11-03,13:00,BUF,MIA,30.0,27.0,3.0,57.0,6.5,49.0,-285.0,230.0,New Era Field,outdoors,a_turf
2024_09_NO_CAR,2024,9,2024-11-03,13:00,CAR,NO,23.0,22.0,1.0,45.0,-7.0,43.5,275.0,-345.0,Bank of America Stadium,outdoors,grass
2024_09_LV_CIN,2024,9,2024-11-03,13:00,CIN,LV,41.0,24.0,17.0,65.0,8.0,45.0,-410.0,320.0,Paycor Stadium,outdoors,fieldturf
2024_09_LAC_CLE,2024,9,2024-11-03,13:00,CLE,LAC,10.0,27.0,-17.0,37.0,-2.0,42.5,110.0,-130.0,FirstEnergy Stadium,outdoors,grass
2024_09_WAS_NYG,2024,9,2024-11-03,13:00,NYG,WAS,22.0,27.0,-5.0,49.0,-4.5,44.5,180.0,-218.0,MetLife Stadium,outdoors,fieldturf
