Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,team,season
"Friday, Jul 5",ARI,@,SDP,L-wo,8.0,10.0,9.0,43-45,4.0,10.5,Kolek,Sewald,None,2:58,N,47171.0,.88,-1,,ARI,2024
"Saturday, Jul 6",ARI,@,SDP,W,7.0,5.0,10.0,44-45,3.0,10.5,Thompson,Peralta,Castellanos,3:33,N,44761.0,.77,1,,ARI,2024
"Sunday, Jul 7",ARI,@,SDP,W,9.0,1.0,9.0,45-45,3.0,9.5,Nelson,Cease,None,2:41,D,41112.0,.89,2,,ARI,2024
"Monday, Jul 8",ARI,Home,ATL,L,4.0,5.0,11.0,45-46,3.0,10.0,Iglesias,Martinez,Jiménez,2:45,N,20594.0,.93,-1,,ARI,2024
"Tuesday, Jul 9",ARI,Home,ATL,L,2.0,6.0,9.0,45-47,3.0,10.0,Sale,Gallen,None,2:46,N,21652.0,.86,-2,,ARI,2024
"Wednesday, Jul 10",ARI,Home,ATL,W,7.0,5.0,9.0,46-47,3.0,9.0,Thompson,Jiménez,Sewald,2:21,N,18020.0,.79,1,,ARI,2024
"Thursday, Jul 11",ARI,Home,ATL,W,1.0,0.0,9.0,47-47,3.0,8.0,Pfaadt,Fried,Sewald,2:29,N,27101.0,.89,2,,ARI,2024
"Friday, Jul 12",ARI,Home,TOR,W-wo,5.0,4.0,9.0,48-47,2.0,8.0,Martinez,Green,None,2:39,N,24441.0,.90,3,,ARI,2024
"Saturday, Jul 13",ARI,Home,TOR,W,12.0,1.0,9.0,49-47,2.0,7.0,Díaz,Berríos,None,2:45,N,40121.0,.95,4,,ARI,2024
"Sunday, Jul 14",ARI,Home,TOR,L,7.0,8.0,9.0,49-48,2.0,7.0,Richards,Ginkel,Green,2:51,D,24732.0,1.02,-1,,ARI,2024
"Friday, Jul 19",ARI,@,CHC,W,5.0,2.0,9.0,50-48,2.0,7.0,Nelson,Steele,Sewald,2:54,D,40691.0,1.05,1,,ARI,2024
"Saturday, Jul 20",ARI,@,CHC,W,3.0,0.0,9.0,51-48,2.0,7.0,Gallen,Hendricks,Sewald,2:46,N,39595.0,1.12,2,,ARI,2024
"Sunday, Jul 21",ARI,@,CHC,L-wo,1.0,2.0,10.0,51-49,2.0,8.0,Neris,Mantiply,None,2:30,D,39162.0,1.14,-1,,ARI,2024
"Monday, Jul 22",ARI,@,KCR,L,4.0,10.0,9.0,51-50,3.0,9.0,Ragans,Díaz,None,2:40,N,16275.0,.98,-2,,ARI,2024
"Tuesday, Jul 23",ARI,@,KCR,W,6.0,2.0,9.0,52-50,3.0,9.0,Montgomery,Marsh,None,2:38,N,21993.0,.93,1,,ARI,2024
"Wednesday, Jul 24",ARI,@,KCR,W,8.0,6.0,9.0,53-50,3.0,8.0,Mantiply,McArthur,None,2:47,N,15931.0,.96,2,,ARI,2024
"Friday, Jul 26",ARI,Home,PIT,W,4.0,3.0,9.0,54-50,3.0,7.5,Gallen,Mlodzinski,Sewald,2:36,N,31255.0,1.15,3,,ARI,2024
"Saturday, Jul 27",ARI,Home,PIT,W,9.0,5.0,9.0,55-50,3.0,6.5,Pfaadt,Priester,None,2:37,N,35905.0,1.24,4,,ARI,2024
"Sunday, Jul 28",ARI,Home,PIT,L,5.0,6.0,10.0,55-51,3.0,7.5,Chapman,Martinez,None,2:57,D,27162.0,1.27,-1,,ARI,2024
"Monday, Jul 29",ARI,Home,WSN,W-wo,9.0,8.0,9.0,56-51,3.0,7.0,Mantiply,Finnegan,None,3:00,N,18790.0,1.18,1,,ARI,2024
"Tuesday, Jul 30",ARI,Home,WSN,W,17.0,0.0,9.0,57-51,3.0,6.0,Nelson,Corbin,None,2:35,N,19758.0,1.19,2,,ARI,2024
"Wednesday, Jul 31",ARI,Home,WSN,W,5.0,4.0,9.0,58-51,3.0,5.0,Gallen,Gore,Thompson,2:53,D,18294.0,1.27,3,,ARI,2024
"Friday, Aug 2",ARI,@,PIT,W,9.0,8.0,9.0,59-51,2.0,4.0,Floro,Holderman,Thompson,3:11,N,22834.0,1.46,4,,ARI,2024
"Saturday, Aug 3",ARI,@,PIT,L,2.0,4.0,9.0,59-52,3.0,5.0,Nicolas,Cecconi,Bednar,2:39,N,35515.0,1.55,-1,,ARI,2024
"Sunday, Aug 4",ARI,@,PIT,W,6.0,5.0,9.0,60-52,3.0,5.0,Sewald,Holderman,Puk,3:03,D,32624.0,1.51,1,,ARI,2024
"Monday, Aug 5",ARI,@,CLE,W,7.0,6.0,10.0,61-52,2.0,5.0,Thompson,Clase,Martinez,3:07,N,19570.0,1.42,2,,ARI,2024
"Wednesday, Aug 7 (1)",ARI,@,CLE,W,7.0,3.0,9.0,62-52,2.0,3.0,Pfaadt,Lively,None,2:35,D,,1.42,3,,ARI,2024
"Wednesday, Aug 7 (2)",ARI,@,CLE,W,5.0,3.0,9.0,63-52,2.0,3.0,Rodríguez,Carrasco,Martinez,2:27,D,26739.0,1.41,4,,ARI,2024
"Thursday, Aug 8",ARI,Home,PHI,L,4.0,6.0,9.0,63-53,3.0,3.5,Allard,Montgomery,Estévez,2:47,N,25239.0,1.53,-1,,ARI,2024
"Friday, Aug 9",ARI,Home,PHI,W-wo,3.0,2.0,9.0,64-53,3.0,3.5,Martinez,Hoffman,None,2:12,N,37952.0,1.50,1,,ARI,2024
"Saturday, Aug 10",ARI,Home,PHI,W,11.0,1.0,9.0,65-53,3.0,3.5,Ginkel,Nola,None,2:54,N,46183.0,1.52,2,,ARI,2024
"Sunday, Aug 11",ARI,Home,PHI,W,12.0,5.0,9.0,66-53,2.0,3.5,Kelly,Sánchez,None,2:44,D,29071.0,1.51,3,,ARI,2024
"Monday, Aug 12",ARI,Home,COL,W,5.0,4.0,9.0,67-53,2.0,3.5,Pfaadt,Molina,Martinez,2:24,N,15525.0,1.39,4,,ARI,2024
"Tuesday, Aug 13",ARI,Home,COL,W-wo,4.0,3.0,9.0,68-53,2.0,3.5,Mantiply,Vodnik,None,2:31,N,19731.0,1.34,5,,ARI,2024
"Wednesday, Aug 14",ARI,Home,COL,W,11.0,4.0,9.0,69-53,2.0,2.5,Montgomery,Gordon,None,2:59,D,16464.0,1.24,6,,ARI,2024
"Friday, Aug 16",ARI,@,TBR,L-wo,4.0,5.0,9.0,69-54,2.0,3.0,Fairbanks,Martinez,None,2:37,N,21613.0,1.30,-1,,ARI,2024
"Saturday, Aug 17",ARI,@,TBR,L,1.0,6.0,9.0,69-55,3.0,3.0,Springs,Gallen,Lovelady,2:37,D,17708.0,1.25,-2,,ARI,2024
